536;119;;;;;80
544;107;;;;;10
538;115;;;;;80
541;116;;;;;70
540;118;;;;;90
548;116;;;;;70
541;119;;;;;10
539;119;;;;;60
545;110;;;;;80
539;121;;;;;90
542;117;;;;;70
540;112;;;;;70
542;108;;;;;70
544;109;;;;;80
539;112;;;;;0
545;119;;;;;70
548;119;;;;;80
548;120;;;;;80
549;118;;;;;70
536;114;;;;;70
537;108;;;;;90
547;118;;;;;70
550;111;;;;;70
537;115;;;;;80
538;117;;;;;70
538;114;;;;;90
546;120;;;;;70
537;118;;;;;70
547;120;;;;;70
543;118;;;;;10
545;118;;;;;70
537;120;;;;;90
543;116;;;;;70
545;109;;;;;10
545;115;;;;;80
539;110;;;;;60
544;121;;;;;70
543;121;;;;;0
546;110;;;;;0
541;113;;;;;80
547;119;;;;;0
542;111;;;;;70
548;118;;;;;20
541;121;;;;;0
538;121;;;;;70
540;116;;;;;70
537;119;;;;;70
547;114;;;;;80
546;113;;;;;0
550;119;;;;;70
549;116;;;;;90
546;115;;;;;60
547;112;;;;;0
540;120;;;;;80
539;120;;;;;0
550;113;;;;;10
550;107;;;;;80
539;107;;;;;0
547;110;;;;;60
544;111;;;;;70
542;115;;;;;70
541;111;;;;;20
546;111;;;;;0
550;115;;;;;80
541;108;;;;;80
543;109;;;;;70
550;121;;;;;70
538;113;;;;;0
536;116;;;;;70
548;113;;;;;0
548;107;;;;;0
544;114;;;;;80
548;115;;;;;80
549;113;;;;;60
537;107;;;;;70
549;120;;;;;80
549;111;;;;;90
544;116;;;;;70
543;113;;;;;70
541;118;;;;;60
543;115;;;;;80
538;110;;;;;60
539;118;;;;;70
540;110;;;;;70
549;115;;;;;10
550;108;;;;;90
547;117;;;;;70
549;108;;;;;70
546;107;;;;;90
542;120;;;;;0
545;114;;;;;0
540;114;;;;;60
548;109;;;;;60
548;110;;;;;70
547;111;;;;;90
541;114;;;;;70
540;119;;;;;90
549;121;;;;;70
549;112;;;;;80
548;121;;;;;70
546;109;;;;;80
544;113;;;;;60
538;120;;;;;70
536;118;;;;;90
549;107;;;;;70
549;119;;;;;80
536;109;;;;;70
536;121;;;;;90
542;112;;;;;80
536;115;;;;;70
549;117;;;;;30
546;117;;;;;0
549;114;;;;;80
543;108;;;;;70
543;111;;;;;70
550;109;;;;;90
537;117;;;;;80
547;108;;;;;60
539;115;;;;;90
538;118;;;;;70
550;117;;;;;0
537;116;;;;;90
545;108;;;;;70
541;107;;;;;70
545;116;;;;;70
536;120;;;;;80
541;115;;;;;90
542;110;;;;;70
547;115;;;;;80
542;109;;;;;60
537;121;;;;;80
541;110;;;;;0
542;116;;;;;70
546;119;;;;;80
548;117;;;;;70
550;110;;;;;80
536;107;;;;;80
545;111;;;;;0
550;114;;;;;70
550;120;;;;;70
547;121;;;;;70
543;117;;;;;70
543;107;;;;;80
546;121;;;;;80
544;115;;;;;70
540;108;;;;;70
541;112;;;;;70
550;116;;;;;80
538;112;;;;;90
545;117;;;;;80
549;109;;;;;10
542;113;;;;;20
545;121;;;;;90
536;112;;;;;70
544;110;;;;;30
537;114;;;;;70
546;118;;;;;0
545;113;;;;;70
545;112;;;;;70
542;119;;;;;80
540;121;;;;;70
550;118;;;;;80
547;113;;;;;70
539;117;;;;;70
538;107;;;;;20
547;107;;;;;0
540;115;;;;;10
539;111;;;;;20
541;120;;;;;70
536;111;;;;;0
548;114;;;;;70
539;108;;;;;70
548;112;;;;;80
546;114;;;;;90
540;111;;;;;70
542;121;;;;;70
537;112;;;;;70
548;108;;;;;70
546;116;;;;;70
546;108;;;;;60
536;117;;;;;70
538;119;;;;;10
549;110;;;;;0
543;112;;;;;80
546;112;;;;;10
547;109;;;;;80
541;109;;;;;80
548;111;;;;;80
550;112;;;;;0
543;114;;;;;70
