393;82;;;;;0;;
541;115;;;;;90;;
581;162;;;;;20;;
486;179;;;;;;; 
400;201;;;;;;; 
609;93;;;;;70;;
363;242;;;;;80;;
569;247;;;;;10;;
428;174;;;;;60;;
394;132;;;;;;; 
620;129;;;;;90;;
199;389;;;;;;; 
198;443;10;82;79;80;85;0; 
604;137;;;;;80;;
434;156;;;;;80;;
475;143;;;;;0;;
601;24;;;;;80;;
442;106;;;;;80;;
519;202;;;;;;; 
359;199;;;;;10;;
577;111;;;;;80;;
361;198;;;;;70;;
562;213;;;;;20;;
400;12;;;;;0;;
576;473;;;;;;; 
421;12;;;;;70;;
557;182;;;;;80;;
219;409;96;72;78;;;; 
386;142;73;93;81;;;; 
402;84;;;;;0;;
623;141;;;;;80;;
491;226;;;;;80;;
468;61;;;;;20;;
628;243;;;;;70;;
598;327;;;;;;; 
378;109;;;;;;; 
503;20;;;;;90;;
574;96;;;;;;; 
450;274;88;82;66;;;; 
413;97;;;;;70;;
488;141;;;;;10;;
417;209;;;;;;; 
592;163;;;;;10;;
371;111;08;73;78;;;; 
444;263;;;;;;; 
351;176;;;;;0;;
629;8;;;;;0;;
438;189;;;;;80;;
545;136;;;;;60;;
452;86;;;;;0;;
592;359;;;;;;; 
376;61;;;;;80;;
463;118;;;;;60;;
570;38;;;;;80;;
511;172;;;;;90;;
577;133;96;84;83;;;; 
604;209;;;;;70;;
428;21;;;;;80;;
511;238;;;;;0;;
625;24;;;;;70;;
380;105;21;92;16;;;; 
411;82;;;;;0;;
369;139;;;;;;; 
415;52;;;;;20;;
418;184;;;;;70;;
543;16;;;;;70;;
566;395;80;78;09;75;69;0; 
376;147;;;;;;; 
365;2;;;;;70;;
413;133;;;;;0;;
372;154;;;;;;; 
590;249;;;;;0;;
469;125;;;;;70;;
610;232;;;;;0;;
514;146;;;;;90;;
571;78;;;;;80;;
364;34;;;;;70;;
412;196;0;;;;;;0 
626;147;;;;;80;;
439;157;;;;;90;;
572;179;;;;;70;;
445;153;;;;;70;;
575;247;;;;;80;;
579;41;;;;;0;;
486;136;;;;;70;;
581;56;;;;;;; 
620;213;;;;;60;;
594;133;;;;;60;;
574;191;;;;;60;;
354;71;;;;;10;;
368;163;;;;;80;;
506;166;;;;;60;;
560;117;;;;;80;;
408;220;;;;;60;;
559;51;;;;;;; 
367;122;;;;;;; 
521;124;;;;;20;;
395;222;;;;;20;;
391;35;;;;;0;;
376;158;;;;;;; 
551;110;;;;;;; 
616;216;;;;;80;;
425;220;;;;;;; 
565;242;;;;;80;;
477;23;;;;;0;;
562;145;;;;;60;;
580;201;;;;;10;;
544;78;;;;;70;;
622;245;;;;;80;;
360;21;;;;;80;;
431;223;;;;;60;;
594;119;;;;;80;;
433;297;78;05;99;;;; 
492;232;;;;;;; 
478;177;66;86;80;92;47;0; 
623;108;;;;;70;;
442;78;;;;;90;;
590;163;;;;;70;;
647;112;;;;;;; 
539;240;;;;;80;;
525;41;;;;;20;;
426;207;;;;;;; 
404;188;;;;;;; 
426;192;;;;;70;;
542;77;;;;;80;;
419;128;;;;;80;;
443;221;;;;;80;;
384;16;;;;;70;;
462;93;;;;;70;;
451;233;;;;;;; 
529;54;;;;;80;;
368;69;;;;;80;;
466;44;;;;;80;;
409;95;;;;;90;;
364;204;;;;;80;;
459;51;;;;;70;;
223;400;74;25;96;;;; 
626;231;;;;;80;;
390;195;;;;;20;;
484;73;;;;;80;;
580;11;;;;;80;;
360;231;;;;;60;;
578;143;;;;;;; 
577;243;;;;;70;;
598;136;;;;;0;;
539;146;;;;;80;;
558;227;;;;;70;;
353;105;;;;;80;;
530;93;;;;;60;;
513;229;;;;;80;;
622;239;;;;;80;;
491;101;;;;;70;;
201;416;;;;;;; 
453;85;;;;;0;;
378;132;90;58;72;70;85;0; 
520;238;;;;;70;;
431;131;;;;;20;;
425;253;;;;;;; 
553;113;;;;;;; 
379;109;91;93;94;;;; 
487;147;;;;;70;;
428;63;;;;;70;;
600;167;;;;;70;;
564;198;;;;;70;;
504;212;;;;;70;;
534;55;;;;;0;;
455;152;;;;;70;;
496;175;;;;;70;;
598;236;;;;;70;;
548;4;;;;;10;;
364;1000;;;;;0;;
544;81;;;;;20;;
435;132;;;;;80;;
591;144;;;;;80;;
481;205;;;;;;; 
382;239;;;;;20;;
522;74;;;;;20;;
630;124;;;;;90;;
531;6;;;;;70;;
364;188;;;;;10;;
523;217;;;;;0;;
611;189;;;;;60;;
412;199;;;;;;; 
485;204;;;;;;; 
629;162;;;;;70;;
394;230;;;;;70;;
375;135;;;;;;; 
486;167;;;;;;; 
513;84;;;;;70;;
401;150;;;;;80;;
565;54;;;;;70;;
631;37;;;;;70;;
447;210;26;75;94;71;58;0; 
536;85;;;;;70;;
436;252;;;;;70;;
426;190;;;;;70;;
431;199;74;14;66;;;; 
599;457;;;;;;; 
622;66;;;;;70;;
641;114;;;;;;; 
567;186;;;;;70;;
368;254;;;;;70;;
445;271;73;79;71;;;; 
468;78;;;;;80;;
196;391;66;97;71;20;86;0; 
576;17;;;;;60;;
415;208;;;;;;; 
523;157;;;;;;; 
590;368;44;06;80;;;; 
600;107;;;;;70;;
199;413;;;;;;; 
485;77;;;;;60;;
603;47;;;;;90;;
193;390;88;63;78;;;; 
518;40;;;;;60;;
216;405;;;;;;; 
396;54;;;;;60;;
497;66;;;;;70;;
597;362;57;71;79;;;; 
214;389;73;50;77;87;52;0; 
582;362;;;;;;0; 
424;68;;;;;0;;
455;58;;;;;70;;
522;51;;;;;70;;
579;354;77;78;99;41;87;Ra; 
564;251;;;;;10;;
192;392;81;66;83;;;; 
616;197;;;;;80;;
475;205;;;;;;; 
380;137;;;;;;; 
470;63;;;;;90;;
202;413;;;;;;; 
632;38;;;;;70;;
